id,kind,tag,file,lineStart,lineEnd,name,content,childText,tooltip,command,style,layout
"xaml:App.xaml:1:1","control","Application","App.xaml","1","5","","","","","","","{}"
"xaml:App.xaml:7:2","control","ResourceDictionary","App.xaml","7","7","","","","","","","{}"
"xaml:App.xaml:9:3","control","ResourceDictionary","App.xaml","9","9","","","","","","","{}"
"xaml:App.xaml:10:4","control","ResourceDictionary","App.xaml","10","10","","","","","","","{}"
"xaml:App.xaml:30:5","style","Style","App.xaml","30","38","TouchScrollViewerStyle","","","","","","{}"
"xaml:App.xaml:31:6","style","Setter","App.xaml","31","70","","","","","","","{}"
"xaml:App.xaml:32:7","style","Setter","App.xaml","32","70","","","","","","","{}"
"xaml:App.xaml:33:8","style","Setter","App.xaml","33","70","","","","","","","{}"
"xaml:App.xaml:34:9","style","Setter","App.xaml","34","70","","","","","","","{}"
"xaml:App.xaml:35:10","style","Setter","App.xaml","35","70","","","","","","","{}"
"xaml:App.xaml:36:11","style","Setter","App.xaml","36","70","","","","","","","{}"
"xaml:App.xaml:37:12","style","Setter","App.xaml","37","70","","","","","","","{}"
"xaml:App.xaml:40:13","style","Style","App.xaml","40","50","TouchListBoxStyle","","","","","","{}"
"xaml:App.xaml:41:14","style","Setter","App.xaml","41","70","","","","","","","{}"
"xaml:App.xaml:42:15","style","Setter","App.xaml","42","70","","","","","","","{}"
"xaml:App.xaml:43:16","style","Setter","App.xaml","43","70","","","","","","","{}"
"xaml:App.xaml:44:17","style","Setter","App.xaml","44","70","","","","","","","{}"
"xaml:App.xaml:45:18","style","Setter","App.xaml","45","70","","","","","","","{}"
"xaml:App.xaml:46:19","style","Setter","App.xaml","46","70","","","","","","","{}"
"xaml:App.xaml:47:20","style","Setter","App.xaml","47","70","","","","","","","{}"
"xaml:App.xaml:48:21","style","Setter","App.xaml","48","70","","","","","","","{}"
"xaml:App.xaml:49:22","style","Setter","App.xaml","49","70","","","","","","","{}"
"xaml:App.xaml:52:23","style","Style","App.xaml","52","71","","","","","","{StaticResource TouchScrollViewerStyle}","{}"
"xaml:App.xaml:53:24","style","Style","App.xaml","53","71","","","","","","{StaticResource TouchListBoxStyle}","{}"
"xaml:App.xaml:56:25","style","Style","App.xaml","56","71","MacSplitter","","","","","","{}"
"xaml:App.xaml:57:26","style","Setter","App.xaml","57","70","","","","","","","{}"
"xaml:App.xaml:58:27","style","Setter","App.xaml","58","70","","","","","","","{}"
"xaml:App.xaml:59:28","style","Setter","App.xaml","59","70","","","","","","","{}"
"xaml:App.xaml:60:29","style","Setter","App.xaml","60","70","","","","","","","{}"
"xaml:App.xaml:61:30","style","Setter","App.xaml","61","70","","","","","","","{}"
"xaml:App.xaml:62:31","style","Setter","App.xaml","62","70","","","","","","","{}"
"xaml:App.xaml:64:32","style","ControlTemplate","App.xaml","64","68","","","","","","","{}"
"xaml:App.xaml:65:33","layout","Border","App.xaml","65","67","","","","","","","{""Width"":""{TemplateBinding Width}""}"
"xaml:App.xaml:66:34","control","Rectangle","App.xaml","66","66","","","","","","","{""Width"":""1"",""HorizontalAlignment"":""Center"",""Opacity"":""0.72""}"
"xaml:App.xaml:75:35","style","Style","App.xaml","75","115","NavButton","","","","","","{}"
"xaml:App.xaml:76:36","style","Setter","App.xaml","76","114","","","","","","","{}"
"xaml:App.xaml:77:37","style","Setter","App.xaml","77","114","","","","","","","{}"
"xaml:App.xaml:78:38","style","Setter","App.xaml","78","114","","","","","","","{}"
"xaml:App.xaml:79:39","style","Setter","App.xaml","79","114","","","","","","","{}"
"xaml:App.xaml:80:40","style","Setter","App.xaml","80","114","","","","","","","{}"
"xaml:App.xaml:81:41","style","Setter","App.xaml","81","114","","","","","","","{}"
"xaml:App.xaml:82:42","style","Setter","App.xaml","82","114","","","","","","","{}"
"xaml:App.xaml:83:43","style","Setter","App.xaml","83","114","","","","","","","{}"
"xaml:App.xaml:84:44","style","Setter","App.xaml","84","114","","","","","","","{}"
"xaml:App.xaml:85:45","style","Setter","App.xaml","85","114","","","","","","","{}"
"xaml:App.xaml:86:46","style","Setter","App.xaml","86","114","","","","","","","{}"
"xaml:App.xaml:88:47","style","ControlTemplate","App.xaml","88","112","","","","","","","{}"
"xaml:App.xaml:89:48","layout","Border","App.xaml","89","95","bg","","","","","","{""Padding"":""{TemplateBinding Padding}"",""CornerRadius"":""{StaticResource ShapeMedium}""}"
"xaml:App.xaml:93:49","layout","ContentPresenter","App.xaml","93","94","","","","","","","{""HorizontalAlignment"":""{TemplateBinding HorizontalContentAlignment}"",""VerticalAlignment"":""Center""}"
"xaml:App.xaml:98:50","style","Setter","App.xaml","98","114","","","","","","","{}"
"xaml:App.xaml:99:51","style","Setter","App.xaml","99","114","","","","","","","{}"
"xaml:App.xaml:102:52","style","Setter","App.xaml","102","114","","","","","","","{}"
"xaml:App.xaml:105:53","style","Setter","App.xaml","105","114","","","","","","","{}"
"xaml:App.xaml:106:54","style","Setter","App.xaml","106","114","","","","","","","{}"
"xaml:App.xaml:107:55","style","Setter","App.xaml","107","114","","","","","","","{}"
"xaml:App.xaml:108:56","style","Setter","App.xaml","108","114","","","","","","","{}"
"xaml:App.xaml:109:57","style","Setter","App.xaml","109","114","","","","","","","{}"
"xaml:App.xaml:118:58","style","Style","App.xaml","118","130","Card","","","","","","{}"
"xaml:App.xaml:119:59","style","Setter","App.xaml","119","129","","","","","","","{}"
"xaml:App.xaml:120:60","style","Setter","App.xaml","120","129","","","","","","","{}"
"xaml:App.xaml:121:61","style","Setter","App.xaml","121","129","","","","","","","{}"
"xaml:App.xaml:122:62","style","Setter","App.xaml","122","129","","","","","","","{}"
"xaml:App.xaml:123:63","style","Setter","App.xaml","123","129","","","","","","","{}"
"xaml:App.xaml:124:64","style","Setter","App.xaml","124","129","","","","","","","{}"
"xaml:App.xaml:133:65","style","Style","App.xaml","133","136","TonalCard","","","","","{StaticResource Card}","{}"
"xaml:App.xaml:134:66","style","Setter","App.xaml","134","185","","","","","","","{}"
"xaml:App.xaml:135:67","style","Setter","App.xaml","135","185","","","","","","","{}"
"xaml:App.xaml:139:68","style","Style","App.xaml","139","145","SectionLabel","","","","","","{}"
"xaml:App.xaml:140:69","style","Setter","App.xaml","140","185","","","","","","","{}"
"xaml:App.xaml:141:70","style","Setter","App.xaml","141","185","","","","","","","{}"
"xaml:App.xaml:142:71","style","Setter","App.xaml","142","185","","","","","","","{}"
"xaml:App.xaml:143:72","style","Setter","App.xaml","143","185","","","","","","","{}"
